46.32.187.141:8443#LV [225.73ms 0.12Mbps]
185.82.126.216:2053#SE [226.53ms 0.79Mbps]
13.140.9.211:443#SE [226.66ms 1.41Mbps]
146.59.19.208:2053#PL [227.52ms 0.09Mbps]
91.199.160.46:443#CZ [228.17ms 0.11Mbps]
146.59.34.209:2053#PL [228.7ms 0.24Mbps]
152.53.112.170:2053#AT [229.71ms 0.43Mbps]
194.154.29.72:443#CH [229.74ms 0.05Mbps]
89.125.76.229:443#SE [230.9ms 0.12Mbps]
194.87.126.173:443#CZ [231.1ms 0.18Mbps]
185.82.126.184:2053#SE [231.21ms 1.95Mbps]
146.70.233.51:443#CH [231.45ms 0.07Mbps]
62.182.193.175:443#SE [231.48ms 0.09Mbps]
37.205.15.169:443#CZ [232.05ms 0.92Mbps]
77.73.71.113:443#LV [232.08ms 0.13Mbps]
157.173.29.46:443#AT [232.35ms 0.54Mbps]
109.69.61.17:443#FI [232.84ms 0.08Mbps]
109.122.201.22:443#SE [233.36ms 0.21Mbps]
193.124.57.253:8443#CZ [233.71ms 1.09Mbps]
45.129.2.201:443#RU [233.81ms 0.0Mbps]
185.185.70.201:8443#RU [233.86ms 0.13Mbps]
144.31.170.30:443#FI [234.08ms 0.15Mbps]
38.180.109.174:443#HU [234.09ms 1.84Mbps]
109.172.8.74:443#CZ [234.11ms 0.1Mbps]
196.196.5.28:443#SE [234.12ms 0.51Mbps]
62.182.193.108:2087#SE [234.87ms 3.44Mbps]
92.62.251.175:443#PL [234.95ms 0.0Mbps]
45.131.135.105:443#FI [235.31ms 0.12Mbps]
185.126.64.101:443#PL [235.46ms 0.08Mbps]
185.188.181.196:443#FI [235.77ms 0.07Mbps]
87.239.250.244:2053#FI [236.65ms 0.15Mbps]
91.217.76.147:2053#FI [236.65ms 0.12Mbps]
186.246.35.98:8443#FI [236.84ms 0.53Mbps]
92.243.66.201:443#RU [236.99ms 0.1Mbps]
5.45.112.139:443#EE [236.99ms 0.0Mbps]
83.147.241.197:443#BG [237.32ms 0.0Mbps]
185.200.190.149:443#FI [237.34ms 0.45Mbps]
213.165.58.120:443#FI [237.36ms 0.1Mbps]
84.208.211.208:8443#NO [237.71ms 0.12Mbps]
83.147.222.59:8443#FI [237.75ms 1.71Mbps]
194.71.227.213:443#BE [237.95ms 0.11Mbps]
57.128.246.84:2087#PL [238.37ms 0.6Mbps]
193.124.45.102:2053#TR [238.38ms 0.16Mbps]
188.137.178.179:2053#PL [239.49ms 0.89Mbps]
188.255.236.84:2087#EE [239.84ms 1.54Mbps]
83.228.193.177:8443#CH [239.93ms 0.08Mbps]
195.137.244.47:2053#PL [240.28ms 0.65Mbps]
109.172.84.229:2087#RU [240.5ms 0.0Mbps]
82.118.23.112:443#PL [241.46ms 0.09Mbps]
80.77.25.228:443#EE [242.05ms 0.11Mbps]
176.124.32.39:443#EE [242.2ms 0.12Mbps]
146.70.233.11:2083#CH [242.31ms 0.05Mbps]
38.180.45.235:443#EE [242.42ms 0.14Mbps]
62.182.102.93:443#BY [242.65ms 0.05Mbps]
185.4.72.110:8443#EE [242.84ms 1.51Mbps]
185.179.82.246:443#BY [242.97ms 0.04Mbps]
193.233.90.91:443#RU [243.36ms 0.09Mbps]
185.4.74.111:443#EE [244.07ms 0.07Mbps]
